AC_NO,AC_NAME,AC_TYPE,CAND_NAME,CAND_SEX,CAND_CATEGORY,CAND_AGE,PARTY ABBREviation,Total valid votes polled,POSITION
1,SHEOPUR ,GEN,BABU JANDAIL,M,GEN,42,BSP,48784,2
1,SHEOPUR ,GEN,BRAJRAJ SINGH,M,GEN,53,INC,34898,3
1,SHEOPUR ,GEN,DURGALAL VIJAY,M,GEN,61,BJP,65211,1
1,SHEOPUR ,GEN,FAIMUDDIN AHMED,M,GEN,32,NCP,1326,5
1,SHEOPUR ,GEN,GANGARAM ADIWASI,M,ST,52,SP,1207,8
1,SHEOPUR ,GEN,MAHESH AGRAWAL,M,GEN,47,IND,550,10
1,SHEOPUR ,GEN,MANGI LAL FAUJI,M,SC,42,BA S D,1066,9
1,SHEOPUR ,GEN,MOHAMMAD INSAF QURESHI,M,GEN,32,SDPI,1266,6
1,SHEOPUR ,GEN,NAGARAM,M,GEN,42,IND,1219,7
1,SHEOPUR ,GEN,None of the Above,NULL,NULL,NULL,NOTA,1834,4
1,SHEOPUR ,GEN,RAMVILASH MEENA,M,GEN,44,RKSP,465,12
1,SHEOPUR ,GEN,SHIVCHARAN,M,ST,35,IND,483,11
2,VIJAYPUR ,GEN,MATHURO,F,ST,52,SamSP,490,11
2,VIJAYPUR ,GEN,None of the Above,NULL,NULL,NULL,NOTA,2019,5
2,VIJAYPUR ,GEN,PAPPI,F,ST,30,IND,424,12
2,VIJAYPUR ,GEN,PARAMANAND SHARMA,M,GEN,42,IND,492,10
2,VIJAYPUR ,GEN,RAJENDRA BAIRAGI,M,GEN,31,IND,760,8
2,VIJAYPUR ,GEN,RAMESH,M,SC,34,NCP,1770,7
2,VIJAYPUR ,GEN,RAMNIWAS RAWAT,M,GEN,54,INC,67358,1
2,VIJAYPUR ,GEN,RAMRATAN ADIVASI,M,ST,30,IND,757,9
2,VIJAYPUR ,GEN,SATISH,M,ST,34,BSP,7192,3
2,VIJAYPUR ,GEN,SITARAM ADIWASHI,M,ST,54,BJP,65209,2
2,VIJAYPUR ,GEN,SURENDRA SINGH HADA,M,GEN,53,IND,1806,6
2,VIJAYPUR ,GEN,UDAYA BHAN SINGH,M,GEN,52,SP,4376,4
3,SABALAGADH ,GEN,BRAJESH BHADORIYA,M,GEN,42,BA S D,15391,4
3,SABALAGADH ,GEN,MASTER KAMAL SINGH RAWAT,M,GEN,45,BSP,19701,3
